key,enabled,identity,password,username
user-account-customer-27,true,"UserIdentity{name: 'Customer', surname: 'TwentySeven', email: 'customer27@acme.com'}",customer27,customer27
user-account-customer-28,true,"UserIdentity{name: 'Customer', surname: 'TwentyEight', email: 'customer28@acme.com'}",customer28,customer28
user-account-customer-29,true,"UserIdentity{name: 'Customer', surname: 'TwentyNine', email: 'customer29@acme.com'}",customer29,customer29
user-account-customer-30,true,"UserIdentity{name: 'Customer', surname: 'Thirty', email: 'customer30@acme.com'}",customer30,customer30
user-account-customer-31,true,"UserIdentity{name: 'Customer', surname: 'ThirtyOne', email: 'customer31@acme.com'}",customer31,customer31
user-account-customer-32,true,"UserIdentity{name: 'Customer', surname: 'ThirtyTwo', email: 'customer32@acme.com'}",customer32,customer32
user-account-customer-33,true,"UserIdentity{name: 'Customer', surname: 'ThirtyThree', email: 'customer33@acme.com'}",customer33,customer33
user-account-customer-34,true,"UserIdentity{name: 'Customer', surname: 'ThirtyFour', email: 'customer34@acme.com'}",customer34,customer34
user-account-customer-35,true,"UserIdentity{name: 'Customer', surname: 'ThirtyFive', email: 'customer35@acme.com'}",customer35,customer35
user-account-customer-36,true,"UserIdentity{name: 'Customer', surname: 'ThirtySix', email: 'customer36@acme.com'}",customer36,customer36
user-account-customer-37,true,"UserIdentity{name: 'Customer', surname: 'ThirtySeven', email: 'customer37@acme.com'}",customer37,customer37
user-account-customer-38,true,"UserIdentity{name: 'Customer', surname: 'ThirtyEight', email: 'customer38@acme.com'}",customer38,customer38
user-account-customer-39,true,"UserIdentity{name: 'Customer', surname: 'ThirtyNine', email: 'customer39@acme.com'}",customer39,customer39
user-account-customer-40,true,"UserIdentity{name: 'Customer', surname: 'Forty', email: 'customer40@acme.com'}",customer40,customer40
user-account-customer-41,true,"UserIdentity{name: 'Customer', surname: 'FortyOne', email: 'customer41@acme.com'}",customer41,customer41
user-account-customer-42,true,"UserIdentity{name: 'Customer', surname: 'FortyTwo', email: 'customer42@acme.com'}",customer42,customer42
user-account-customer-43,true,"UserIdentity{name: 'Customer', surname: 'FortyThree', email: 'customer43@acme.com'}",customer43,customer43
user-account-agent-01,true,"UserIdentity{name: 'María', surname: 'López', email: 'mariaL@acme.com'}",agent1,agent1
user-account-agent-02,true,"UserIdentity{name: 'Paco', surname: 'García', email: 'pacoG@acme.com'}",agent2,agent2
user-account-agent-03,true,"UserIdentity{name: 'Agustín', surname: 'Gomez', email: 'agus@acme.com'}",agent3,agent3
user-account-manager-00,true,"UserIdentity{name: 'Manager', surname: 'Zero', email: 'manager0@acme.com'}",manager0,manager0
user-account-manager-01,true,"UserIdentity{name: 'Manager', surname: 'One', email: 'manager1@acme.com'}",manager1,manager1
user-account-manager-02,true,"UserIdentity{name: 'Manager', surname: 'Two', email: 'manager2@acme.com'}",manager2,manager2
user-account-manager-03,true,"UserIdentity{name: 'Manager', surname: 'Three', email: 'manager3@acme.com'}",manager3,manager3
user-account-manager-04,true,"UserIdentity{name: 'Manager', surname: 'Four', email: 'manager4@acme.com'}",manager4,manager4
user-account-manager-05,true,"UserIdentity{name: 'Manager', surname: 'Five', email: 'manager5@acme.com'}",manager5,manager5
user-account-manager-06,true,"UserIdentity{name: 'Manager', surname: 'Six', email: 'manager6@acme.com'}",manager6,manager6
user-account-manager-07,true,"UserIdentity{name: 'Manager', surname: 'Seven', email: 'manager7@acme.com'}",manager7,manager7
user-account-manager-08,true,"UserIdentity{name: 'Manager', surname: 'Eigth', email: 'manager8@acme.com'}",manager8,manager8
user-account-manager-09,true,"UserIdentity{name: 'Manager', surname: 'Nine', email: 'manager9@acme.com'}",manager9,manager9
user-account-manager-10,true,"UserIdentity{name: 'Manager', surname: 'Ten', email: 'manager10@acme.com'}",manager10,manager10
user-account-manager-11,true,"UserIdentity{name: 'Manager', surname: 'Eleven', email: 'manager11@acme.com'}",manager11,manager11
user-account-manager-12,true,"UserIdentity{name: 'Manager', surname: 'Twelve', email: 'manager12@acme.com'}",manager12,manager12
user-account-manager-13,true,"UserIdentity{name: 'Manager', surname: 'Thirteen', email: 'manager13@acme.com'}",manager13,manager13
user-account-manager-14,true,"UserIdentity{name: 'Manager', surname: 'Fourteen', email: 'manager14@acme.com'}",manager14,manager14
user-account-manager-15,true,"UserIdentity{name: 'Manager', surname: 'Fifteen', email: 'manager15@acme.com'}",manager15,manager15
user-account-manager-16,true,"UserIdentity{name: 'Manager', surname: 'Sixteen', email: 'manager16@acme.com'}",manager16,manager16
user-account-manager-17,true,"UserIdentity{name: 'Manager', surname: 'Seventeen', email: 'manager17@acme.com'}",manager17,manager17
user-account-manager-18,true,"UserIdentity{name: 'Manager', surname: 'Eighteen', email: 'manager18@acme.com'}",manager18,manager18
user-account-manager-19,true,"UserIdentity{name: 'Manager', surname: 'Nineteen', email: 'manager19@acme.com'}",manager19,manager19
user-account-manager-20,true,"UserIdentity{name: 'Manager', surname: 'Twenty', email: 'manager20@acme.com'}",manager20,manager20
user-account-manager-21,true,"UserIdentity{name: 'Manager', surname: 'TwentyOne', email: 'manager21@acme.com'}",manager21,manager21
user-account-manager-22,true,"UserIdentity{name: 'Manager', surname: 'TwnetyTwo', email: 'manager22@acme.com'}",manager22,manager22
user-account-manager-23,true,"UserIdentity{name: 'Manager', surname: 'TwentyThree', email: 'manager23@acme.com'}",manager23,manager23
user-account-manager-24,true,"UserIdentity{name: 'Manager', surname: 'TwentyFour', email: 'manager24@acme.com'}",manager24,manager24
user-account-manager-25,true,"UserIdentity{name: 'Manager', surname: 'TwnetyFive', email: 'manager25@acme.com'}",manager25,manager25
user-account-manager-26,true,"UserIdentity{name: 'Manager', surname: 'TwentySix', email: 'manager26@acme.com'}",manager26,manager26
user-account-manager-27,true,"UserIdentity{name: 'Manager', surname: 'TwnetySeven', email: 'manager27@acme.com'}",manager27,manager27
user-account-manager-28,true,"UserIdentity{name: 'Manager', surname: 'TwentyEight', email: 'manager28@acme.com'}",manager28,manager28
user-account-member-00,true,"UserIdentity{name: 'Gonzalo', surname: 'Martínez', email: 'gonzalo@acme.com'}",member0,member0
user-account-technician-00,true,"UserIdentity{name: 'Felipe', surname: 'Eduardo', email: 'felipeE@acme.com'}",technician0,technician0
user-account-technician-01,true,"UserIdentity{name: 'Felipe', surname: 'Manuel', email: 'felipeM@acme.com'}",technician1,technician1
user-account-technician-02,true,"UserIdentity{name: 'Felipe', surname: 'José', email: 'felipeJ@acme.com'}",technician2,technician2
user-account-technician-03,true,"UserIdentity{name: 'Felipe', surname: 'Antonio', email: 'felipeA@acme.com'}",technician3,technician3
user-account-technician-04,true,"UserIdentity{name: 'Felipe', surname: 'Antonio', email: 'felipeA@acme.com'}",technician4,technician4
user-account-member-01,true,"UserIdentity{name: 'Anastasia', surname: 'González', email: 'anastasiaG@acme.com'}",member1,member1
user-account-member-02,true,"UserIdentity{name: 'Pedro', surname: 'López', email: 'pedroL@acme.com'}",member2,member2
user-account-member-03,true,"UserIdentity{name: 'Pepe', surname: 'Gotera', email: 'pepeG@acme.com'}",member3,member3
user-account-member-04,true,"UserIdentity{name: 'Andrés', surname: 'Tamayo', email: 'andresT@acme.com'}",member4,member4
user-account-member-05,true,"UserIdentity{name: 'Nicolás', surname: 'Romero López', email: 'nicolasR@acme.com'}",member,member
