key,registrationMoment,passengerEmail,description,type,key:assistanceAgent,key:leg,draftMode
claim-18,2024/02/02 00:00,acme@lorem-ipsum.org,洛伦·伊普森,SECURITY_INCIDENT,agent-01,leg-15,TRUE
claim-19,2024/02/02 00:00,acme@lorem-ipsum.org,<marquee>Hacked</marquee>,SECURITY_INCIDENT,agent-01,leg-15,TRUE
claim-20,2024/02/02 00:00,acme@lorem-ipsum.org,<script>alert(‘Hacked!’);</script>,SECURITY_INCIDENT,agent-01,leg-16,TRUE
claim-21,2024/02/02 00:00,acme@lorem-ipsum.org,' or 'A' = 'A,SECURITY_INCIDENT,agent-01,leg-16,TRUE
#type
claim-22,2024/02/02 00:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit amet consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,FLIGHT_ISSUES,agent-01,leg-16,TRUE
claim-23,2024/02/02 00:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit amet consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,LUGGAGE_ISSUES,agent-01,leg-16,TRUE
claim-24,2024/02/02 00:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit amet consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,OTHER_ISSUES,agent-01,leg-16,TRUE
#draftMode
claim-25,2024/02/02 00:00,acme2@lorem-ipsum.org,Lorem ipsum dolor sit amet consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,SECURITY_INCIDENT,agent-01,leg-16,FALSE
claim-26,2024/02/02 00:00,acme2@lorem-ipsum.org,Lorem ipsum dolor sit amet consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,SECURITY_INCIDENT,agent-01,leg-16,FALSE
